CHARTER NO	NAME	CITY	STATE	CERT	RSSD
8709	1st National Bank	Lebanon	OH	6646	480723
15592	Academy Bank, National Association	Kansas City	MO	19600	535753
25154	Affiliated Bank, National Association	Arlington	TX 	34885	965789
14688	Albany Bank and Trust Company National Association	Chicago	IL	17230	2732
13790	Alerus Financial, National Association	Grand Forks	ND	3931	933256
14206	Amarillo National Bank	Amarillo	TX	14531	353555
16804	Amerant Bank, National Association	Coral Gables	FL	22953	83638
24470	Amerant Trust, National Association	Coral Gables	FL	57852	3266825
24369	American Bank and Trust Company, National Association	Davenport	IA	34955	2733263
16320	American Bank National Association	Dallas	TX	21567	494654
22286	American Bank, National Association	Lemars	IA	5800	345345
15820	American Bank, National Association	Corpus Christi	TX	20241	807955
17319	American Bank, National Association	Waco	TX	23886	307361
24456	American Commerce Bank, National Association	Bremen	GA	57686	3272956
25151	American Express National Bank	Salt Lake City	UT 	27471	1394676
23521	American First National Bank	Houston	TX	34656	2694681
15037	American Heritage National Bank	Long Prairie	MN	8843	61757
18613	American National Bank	Oakland Park	FL	26398	481430
15435	American National Bank	Omaha	NE	19300	660655
22553	American National Bank - Fox Cities	Appleton	WI	33812	2051127
16617	American National Bank & Trust	Wichita Falls	TX	22373	498362
9343	American National Bank and Trust Company	Danville	VA 	6837	958727
24219	American National Bank of Minnesota	Baxter	MN	26499	306159
24716	American Plus Bank, National Association	Arcadia	CA	58469	3623110
24182	AMG National Trust Bank	Boulder	CO	57295	3015939
16625	Anahuac National Bank	Anahuac	TX	22381	424352
5525	Anna-Jonesboro National Bank	Anna	IL	3759	855844
8796	Armed Forces Bank, National Association	Ft. Leavenworth	KS	4666	983457
23006	Asian Pacific National Bank	San Gabriel	CA	33013	1462986
23695	Associated Bank, National Association	Green Bay	WI	5296	917742
23250	Associated Trust Company, National Association	Milwaukee	WI 	27102	1629903
24425	Atlantic Capital Bank, National Association	Atlanta	GA	35525	3555695
5581	Austin Bank, Texas National Association	Jacksonville	TX	3276	548351
25139	Axiom Bank, National Association	Maitland	FL 	31390	408875
3956	Baker Boyer National Bank	Walla Walla	WA	2987	69678
1253	Ballston Spa National Bank	Ballston Spa	NY	6959	505
25080	Banc of California, National Association	Santa Ana	CA 	35498	200378
12152	BancCentral, National Association	Alva	OK 	4033	251352
4975	Bank First, National Association	Manitowoc	WI	5304	594947
24077	Bank of America California, National Association	San Francisco	CA	25178	1443266
13044	Bank of America, National Association	Charlotte	NC	3510	480228
24153	Bank of Brenham, National Association	Brenham	TX	57102	3042234
10844	Bank of Bridger, National Association	Bridger	MT	2224	17950
16976	Bank of Brookfield-Purdin, National Association	Brookfield	MO	9385	236256
20415	Bank of Desoto National Association	Desoto	TX	26542	638355
14510	Bank of Hillsboro, National Association	Hillsboro	IL	16276	659341
4865	Bank of Houston, National Association	Houston	TX	3178	583754
24100	Bank of Southern California, National Association	San Diego	CA	57044	3076453
3375	Bank of The Rockies, National Association	White Sulphur Springs	MT	2205	475756
17548	Bank of Whittier, National Association	Whittier	CA	24211	209362
16643	Bankchampaign, National Association	Champaign	IL	22434	436739
25140	BankFinancial, National Association	Olympia Fields	IL 	28808	454676
25028	Bankunited, National Association	Miami Lakes	FL 	58979	3938186
23216	Barrington Bank & Trust Company, National Association	Barrington	IL	34395	2508751
18358	Beacon Business Bank, National Association	San Francisco	CA	25644	403067
23869	Bessemer Trust Company of California, National Association	San Francisco	CA	35413	2845782
24547	Bessemer Trust Company of Delaware, National Association	Wilmington	DE	58011	3310287
16417	Bessemer Trust Company, National Association	New York	NY	21868	976703
24466	Beverly Bank & Trust Company, National Association	Chicago	IL	57701	3216017
8674	Big Bend Banks, National Association	Marfa	TX	3320	362856
24798	Black Hills Community Bank, National Association	Rapid City	SD	58723	3636428
22121	Blackrock Institutional Trust Company, National Association	San Francisco	CA	32961	1444021
23903	Blue Ridge Bank, National Association	Martinsville	VA	35274	233527
14583	BMO Harris Bank National Association	Chicago	IL	16571	75633
24536	BMO Harris Central National Association	Roselle	IL	58216	3353154
24224	BNC National Bank	Glendale	AZ	57197	2358769
6301	BNY Mellon, National Association	Pittsburgh	PA	7946	934329
13679	BOKF, National Association	Tulsa	OK	4214	339858
17383	Brazos National Bank	Richwood	TX	24038	863362
23290	Bremer Bank, National Association	St. Paul	MN	12923	800657
14447	Broadway National Bank	San Antonio	TX	15797	474254
24944	Brown Brothers Harriman Trust Company of Delaware, National Association	Wilmington	DE	59025	4032791
24429	Brown Brothers Harriman Trust Company, National Association	New York	NY	25824	931207
10646	BTH Bank, National Association	Quitman	TX	3402	24668
14479	Buena Vista National Bank	Chester	IL	10844	621441
24744	Business Bank of Texas, National Association	Austin	TX	58545	3606971
18242	C3bank, National Association	Encinitas	CA 	25249	754068
3656	Cadence Bank, National Association	Atlanta	GA	4999	4262534
23925	California First National Bank	Irvine	CA	35331	2907439
24577	California International Bank, A National Banking Association	Westminster	CA 	57974	3394380
24936	Canandaigua National Trust Company of Florida	Sarasota	FL	58999	3952904
24049	Canyon Community Bank, National Association	Tucson	AZ	35547	2919423
23850	Capital Bank, National Association	Rockville	MD	35278	2808602
24828	Capital One Bank (USA), National Association	Glen Allen	VA	33954	2253891
13688	Capital One, National Association	McLean	VA	4297	112837
